English,Chinese,Source,LineNo
Fallow Slave,禁足奴族,07_Glossary/Tech_Names.md,147
Fallow Slave,禁足奴族,07_Glossary/Fixed_Terms.csv,146
Farewell child,再見了,02_Races/Arilou.md,150
Fat Jubby,胖朱比獸,02_Races/Ilwrath.md,134
Fat Obstreperous Jerks,肥屁噪嗔混蛋,02_Races/Thraddash.md,191
Fat Obstreperous Jerks,「肥胖粗俗混蛋」,07_Glossary/Master_Glossary.md,329
Faugh!,呸,02_Races/Zoq_Fot_Pik.md,138
Faz,法茲族,07_Glossary/Master_Glossary.md,76
Faz,法茲族,07_Glossary/Fixed_Terms.csv,40
Fe-Fi-Fo-Fum!,保留原文,07_Glossary/Master_Glossary.md,390
Feed the furnace,送去餵熔爐,02_Races/Druuge.md,180
Feed the furnace,送去餵熔爐,07_Glossary/Master_Glossary.md,321
Feel the love,感受愛,02_Races/Pkunk.md,81
Feh!,啐！,03_Characters/Talking_Pet.md,126
Fellow Carbon Creature,碳基同胞,02_Races/Supox.md,184
Festival of a Thousand Screams,千聲慘叫祭,02_Races/Ilwrath.md,128
Fighter Form,戰機形態,07_Glossary/Tech_Names.md,58
Fighter Form,戰機形態,07_Glossary/Fixed_Terms.csv,118
Filth,污穢,02_Races/Ur_Quan_Kohr_Ah.md,113
Flame Jets,火焰噴流,07_Glossary/Tech_Names.md,39
Flame Jets,火焰噴流,07_Glossary/Fixed_Terms.csv,99
Fluid sacks,體液袋,02_Races/Umgah.md,140
Fop-Dope-Bic,佛-鬥-畢,03_Characters/Safe_Ones_High_Council.md,100
"For lo, the truth is manifest!",觀之——真相昭然若揭！,02_Races/Ilwrath.md,125
For the Glory of the Empire!,榮耀彈引爆前呼喊,07_Glossary/Master_Glossary.md,429
Force Majeure,不可抗力,02_Races/Druuge.md,191
Fortress Square,堡壘方陣,07_Glossary/Master_Glossary.md,403
Foul pirate!,污穢的海盜,02_Races/Druuge.md,200
Frankly,老實說,03_Characters/Talking_Pet.md,124
Friendly Folk,友善同胞,02_Races/Supox.md,186
Fruit Cakes,水果蛋糕,02_Races/Thraddash.md,190
Frungy,苙戎奇,07_Glossary/Master_Glossary.md,346
Frungy,待譯,08_Translation_Rules/Alien_Speech_Rule.md,46
Frungy,佐-佛-皮的無厉頭運動,08_Translation_Rules/Alien_Speech_Rule.md,142
Frungy,保留原文,09_AI_Prompt/Terminology_Audit.md,136
Frungy,Frungy,07_Glossary/Fixed_Terms.csv,160
Frungy Championships,錦標賽,02_Races/Zoq_Fot_Pik.md,129
Frungy! The Sport of Kings!,Frungy！諸王之運動！,02_Races/Zoq_Fot_Pik.md,128
Fuel Tank,燃料艙,05_Technology/Ship_Modules.md,28
Fuel Tank,燃料艙,07_Glossary/Tech_Names.md,86
Fuel Tank,燃料艙,07_Glossary/Fixed_Terms.csv,137
FunRom,歡樂晶片,07_Glossary/Master_Glossary.md,247
FunRom,歡樂晶片,07_Glossary/Tech_Names.md,138
FunRom,歡樂晶片,07_Glossary/Fixed_Terms.csv,133
FunRoms,娛樂軟碟,02_Races/Shofixti.md,141
Furnace,爐膛,07_Glossary/Tech_Names.md,52
Furnace,爐膛,07_Glossary/Fixed_Terms.csv,112
Fury,憤怒者,04_Ships/Alliance_Ships.md,140
Fury,憤怒者,07_Glossary/Master_Glossary.md,179
Fury,烈憤艦,07_Glossary/Ship_Names.md,45
Fury,憤怒者,07_Glossary/Fixed_Terms.csv,67
Fusion / Nuclear,核融合／核分裂,01_World_Lore/Technology_Level.md,20
Fusion Blaster,融合爆能砲,05_Technology/Ship_Modules.md,43
Fusion Blaster,融合爆能砲,07_Glossary/Tech_Names.md,100
Fusion Bolt,融合彈,07_Glossary/Tech_Names.md,29
Fusion Bolt,融合彈,07_Glossary/Fixed_Terms.csv,89
Fusion Thruster,融合推進器,05_Technology/Ship_Modules.md,12
Fusion Thruster,融合推進器,07_Glossary/Master_Glossary.md,377
Fusion Thruster,融合推進器,07_Glossary/Tech_Names.md,72
Fwiffo,費佛,07_Glossary/Master_Glossary.md,150
Fwiffo,費佛,07_Glossary/Fixed_Terms.csv,46
GRUNT!,呻吟,02_Races/Thraddash.md,172
GYAIEEE!,咕呀啊,02_Races/Shofixti.md,133
Gaia,保留原文 · 現在的家園,02_Races/Syreen.md,229
Gamma Vulpeculae,狐狸座,06_Locations/Star_Systems.md,37
Gamma Vulpeculae,狐狸座 γ,07_Glossary/Place_Names.md,39
Gamma Vulpeculae,狐狸座 γ,07_Glossary/Fixed_Terms.csv,177
Gas Giant,氣體形成的巨行星,06_Locations/Planet_Types.md,11
Gas Giant,氣體形成的巨行星,07_Glossary/Place_Names.md,72
General ZEX,澤克斯,07_Glossary/Fixed_Terms.csv,50
Get to it,動手吧／去做吧,03_Characters/Commander_Hayes.md,68
Gg,Gg 族,07_Glossary/Master_Glossary.md,77
Gg,Gg 族,07_Glossary/Master_Glossary.md,365
Gg,Gg 族,07_Glossary/Fixed_Terms.csv,41
Giclas,吉克拉斯,07_Glossary/Master_Glossary.md,284
Giclas,吉克拉斯,07_Glossary/Place_Names.md,53
Giclas,吉克拉斯,07_Glossary/Fixed_Terms.csv,184
Glilandy,格利蘭第,03_Characters/Talking_Pet.md,102
Glilandy,格利蘭第,03_Characters/Talking_Pet.md,307
Glilandy,格利蘭第,07_Glossary/Master_Glossary.md,88
Glob Launcher,漿團發射器,07_Glossary/Tech_Names.md,47
Glob Launcher,漿團發射器,07_Glossary/Fixed_Terms.csv,108
Glorious Slave Empire of X,「〈艦長〉之光榮奴隸帝國」,07_Glossary/Master_Glossary.md,330
Glory Device,光榮裝置,02_Races/Shofixti.md,145
Glory Device,榮耀彈,04_Ships/Alliance_Ships.md,144
Glory Device,榮耀彈,07_Glossary/Master_Glossary.md,233
Glory Device,榮耀彈,07_Glossary/Fixed_Terms.csv,102
Glory Device / Glory Devices,榮耀彈,07_Glossary/Tech_Names.md,42
Glory Devices,榮耀彈,07_Glossary/Fixed_Terms.csv,103
Glowing Rod,發光魔杖,02_Races/Druuge.md,195
Glowing Rod,發光魔杖,07_Glossary/Master_Glossary.md,224
Good luck out there,外頭多保重,03_Characters/Commander_Hayes.md,69
Grah,葛拉獸,02_Races/Ilwrath.md,135
Grah / Chudd / Dthunk,格拉 / 查德 / 德頓克,07_Glossary/Master_Glossary.md,326
Grand Proctor,大監督者,07_Glossary/Master_Glossary.md,108
Grand-High Poobah,大高酋長,02_Races/Zoq_Fot_Pik.md,152
Grand-High Poobah,尊貴至極的波霸大人,07_Glossary/Master_Glossary.md,352
Great Beyond,蒼宇彼方,07_Glossary/Master_Glossary.md,397
Great Enemy,偉大的敵人,02_Races/Umgah.md,133
Great Hero / Savior,偉大的英雄 / 我族的救世主,02_Races/Umgah.md,132
Great King,偉大的國王 / 艦長王,02_Races/Umgah.md,134
Great Teacher,偉大的導師,02_Races/Thraddash.md,179
Great Teacher,偉大導師,07_Glossary/Master_Glossary.md,334
Green Eye Of Dogar,多加之綠眼,02_Races/Ilwrath.md,122
"Greetings, valued customer",問候您,02_Races/Melnorme.md,76
Groombridge,葛倫布利吉,06_Locations/Star_Systems.md,42
Groombridge,葛倫布利吉,07_Glossary/Master_Glossary.md,282
Groombridge,葛倫布利吉,07_Glossary/Place_Names.md,51
Groombridge,葛倫布利吉,07_Glossary/Fixed_Terms.csv,182
Growth,生長,02_Races/Supox.md,174
Guardian,守衛艦,04_Ships/Hierarchy_Ships.md,154
Guardian,守衛艦,07_Glossary/Master_Glossary.md,186
Guardian,守衛艦,07_Glossary/Ship_Names.md,32
Guardian,守衛艦,07_Glossary/Fixed_Terms.csv,74
Guided Missile,導向飛彈 / 追蹤飛彈,01_World_Lore/Technology_Level.md,25
Gussh,古許,07_Glossary/Master_Glossary.md,125
HAIL! HAIL! HAIL!,萬歲,02_Races/Umgah.md,129
HARG! HARG! HARG!,絕不譯,02_Races/Thraddash.md,169
HARG! HARG! HARG!,哈！哈！哈！,07_Glossary/Master_Glossary.md,333
HEEP!,嘿,02_Races/Yehat.md,132
HISS!,嘶,02_Races/Yehat.md,127
HISS!,嘶,08_Translation_Rules/Alien_Speech_Rule.md,523
HOOT mon!,呼,02_Races/Yehat.md,129
HOOT!,呼,02_Races/Yehat.md,128
HOOT!,呐,08_Translation_Rules/Alien_Speech_Rule.md,524
HOSTILITIES COMMENCE,敵對行動 開始,02_Races/Slylandro_Probe.md,134
HYAIEEE!,嗚呀啊,02_Races/Shofixti.md,132
HYAIEEE!,田中式極端咆哮,07_Glossary/Master_Glossary.md,422
HYAIEEE!,嗚呀啊,08_Translation_Rules/Alien_Speech_Rule.md,29
HYAIEEE!,HYAIEEE!,07_Glossary/Fixed_Terms.csv,203
Ha!,哈,02_Races/Shofixti.md,135
Ha!,哈！,03_Characters/Talking_Pet.md,125
Ha!,武士刀式挑釁,07_Glossary/Master_Glossary.md,423
Ha!,哈,08_Translation_Rules/Alien_Speech_Rule.md,30
Ha!,Ha!,07_Glossary/Fixed_Terms.csv,204
Ha-ha!,哈哈,02_Races/Druuge.md,183
Ha-ha-ha!,哈哈哈！,03_Characters/Talking_Pet.md,111
Habitat Thirty-One,居所艙 31 號,02_Races/Syreen.md,232
Habitat columns,居所艙列隊,02_Races/Syreen.md,233
Hallelujah!,哈利路亞,02_Races/Utwig.md,122
Har,哈,02_Races/Umgah.md,137
Har! Har! Har!,哈,02_Races/Umgah.md,125
Har-har-har!,嘎嘎嘎,08_Translation_Rules/Alien_Speech_Rule.md,36
Hee! Hee! Hee!,嘿嘿嘿,02_Races/VUX.md,179
Hee! Hee! Hee!,嘿嘿嘿！,07_Glossary/Master_Glossary.md,439
Hellbore Cannon,火獄穿甲砲,05_Technology/Ship_Modules.md,46
Hellbore Cannon,火獄穿甲炮,07_Glossary/Master_Glossary.md,366
Hellbore Cannon,火獄穿甲砲,07_Glossary/Tech_Names.md,97
Hellbore Cannon,地獄砲,07_Glossary/Fixed_Terms.csv,140
Hide / Hidden,藏匿 / 躲藏,02_Races/Spathi.md,80
High Perch,高懸王座,02_Races/Yehat.md,139
High Proctor,高階監督者,07_Glossary/Master_Glossary.md,110
High Ruling Council of Spathiwa,史怕族最高議會,03_Characters/Safe_Ones_High_Council.md,84
High Ruling Council of Spathiwa,史怕族最高議會,03_Characters/Safe_Ones_High_Council.md,228
High Ruling Council of Spathiwa,史怕族最高議會,07_Glossary/Master_Glossary.md,81
High-Efficiency Fuel Tank,高效燃料艙,05_Technology/Ship_Modules.md,29
High-Efficiency Fuel Tank,高效燃料艙,07_Glossary/Tech_Names.md,87
High-Powered Weapon,三段式高能砲,07_Glossary/Tech_Names.md,54
High-Powered Weapon,三段式高能砲,07_Glossary/Fixed_Terms.csv,114
Higher Powers,更高力量,02_Races/Supox.md,171
Higher consciousness,更高意識,02_Races/Pkunk.md,78
Historical data,歷史數據,02_Races/Melnorme.md,78
Hmph!,哼,02_Races/Thraddash.md,177
Ho!,你好,08_Translation_Rules/Alien_Speech_Rule.md,526
Ho-ho!,呵,02_Races/Umgah.md,126
"Ho-ho, Captain!",呵呵,02_Races/Druuge.md,185
Ho-ho-ho,通用捧腹笑聲,07_Glossary/Master_Glossary.md,426
Ho-ho-ho,待譯,08_Translation_Rules/Alien_Speech_Rule.md,41
Ho-ho-ho,Ho-ho-ho,07_Glossary/Fixed_Terms.csv,207
Ho-ho-ho!,呵呵呵,02_Races/Druuge.md,184
Holy Killing Zone,神聖屠戮區,02_Races/Ilwrath.md,133
Honor,名譽 / 榮譽,02_Races/Shofixti.md,142
Honor / Dishonor,榮耀 / 失卻榮耀,02_Races/Yehat.md,136
Hot Pulsing Thrusters,火燙脈動推進器號,02_Races/Thraddash.md,194
Hot Pulsing Thrusters / Blazing Guns of Glory / Overwhelmer,「熱脈推進器號」/「榮耀熾焰砲號」/「碾壓者號」,07_Glossary/Master_Glossary.md,327
Hover,盤旋,02_Races/Slylandro.md,76
Howee-baby!,唷寶貝,02_Races/Zoq_Fot_Pik.md,137
Howitzer,榴彈砲,07_Glossary/Tech_Names.md,55
Howitzer,榴彈砲,07_Glossary/Fixed_Terms.csv,115
Hoy!,喂！,07_Glossary/Master_Glossary.md,391
Huffi-Muffi-Guffi,呼夫姆夫古夫,03_Characters/Safe_Ones_High_Council.md,86
Hyai!,哎呀,02_Races/Shofixti.md,131
Hyai!,田中式輕聲驚呼,07_Glossary/Master_Glossary.md,421
Hyai!,唉呀,08_Translation_Rules/Alien_Speech_Rule.md,28
Hyai!,Hyai!,07_Glossary/Fixed_Terms.csv,202
Hydrocarbon World,碳氫化合物行星,06_Locations/Planet_Types.md,15
Hydrocarbon World,碳氫化合物行星,07_Glossary/Place_Names.md,76
HyperDrive,超空間引擎,05_Technology/Ship_Modules.md,79
HyperDrive,超空間引擎,07_Glossary/Tech_Names.md,125
HyperSpace,超空間,01_World_Lore/Technology_Level.md,10
HyperSpace,超維空間,02_Races/Arilou.md,139
HyperSpace,超空間,06_Locations/Star_Systems.md,57
HyperSpace,超空間,07_Glossary/Master_Glossary.md,243
HyperSpace,超空間,07_Glossary/Place_Names.md,88
HyperSpace,超空間,07_Glossary/Tech_Names.md,159
HyperSpace,超空間,07_Glossary/Fixed_Terms.csv,127
HyperWave,超波通訊,01_World_Lore/Technology_Level.md,12
HyperWave,超波通訊,07_Glossary/Master_Glossary.md,242
HyperWave,超波通訊,07_Glossary/Tech_Names.md,134
HyperWave,超波通訊,07_Glossary/Fixed_Terms.csv,130
HyperWave 'Caster,超波播送器,02_Races/Druuge.md,204
HyperWave 'Caster,超波廣播器,03_Characters/Talking_Pet.md,104
HyperWave 'Caster,超波播送器,07_Glossary/Master_Glossary.md,381
Hyperdrive,超空間引擎,01_World_Lore/Technology_Level.md,37
I am Dugee,我是杜吉,02_Races/Mycon.md,149
I am Gussh,我是古舍,02_Races/Mycon.md,151
I am Shloosh,我是希魯許,02_Races/Mycon.md,150
I am ruined!,我完蛋了,02_Races/Druuge.md,188
I died 343 Earth years ago / I do not know how,我於 343 地球年前而亡 / 我不知為何。,02_Races/Mycon.md,148
"I died of general misfunction 57,283 years ago","我於 57,283 年前因總體故障而亡。",02_Races/Mycon.md,146
I was incinerated fourteen thousand Earth years ago,我於一萬四千地球年前被焚化,02_Races/Mycon.md,147
IEEE!,咿咿咿,02_Races/Shofixti.md,134
INITIATED / ENGAGED / ACTIVATED,已啟動 / 已就緒 / 已啟用,02_Races/Slylandro_Probe.md,138
Iccamullon,保留原文,07_Glossary/Master_Glossary.md,467
Iccamullon,保留原文,07_Glossary/Place_Names.md,103
Iccamullon,Iccamullon,07_Glossary/Fixed_Terms.csv,196
Iggy Pop,伊基流行,02_Races/Dnyarri.md,164
Illogical,不合邏輯,02_Races/Androsynth.md,83
Ilwrath,禱詞感,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,56
Ilwrath,每個實詞首字大寫,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,106
Ilwrath,蛛狂族,07_Glossary/Master_Glossary.md,58
Ilwrath,每個實詞首字大寫,08_Translation_Rules/Alien_Speech_Rule.md,93
Ilwrath,蛛狂族,07_Glossary/Fixed_Terms.csv,21
In the names of Dogar and Kazon,以多加與卡宗之名,02_Races/Ilwrath.md,127
Inevitably Successful in All Circumstances,於所有情境必勝之艦,03_Characters/Trade_Master_Greenish.md,68
Inevitably Successful in All Circumstances,於所有情境必勝之艦,07_Glossary/Master_Glossary.md,387
Inevitably Successful in All Circumstances,「於所有情境必勝之艦」,07_Glossary/Ship_Names.md,62
Instinct. Instinct. Instinct,本能,02_Races/Arilou.md,149
Inter-Dimensional Fatigue,跨維穿隙,07_Glossary/Master_Glossary.md,359
Interjection,說明,07_Glossary/Master_Glossary.md,417
Interstar Credits / credits,星幣,07_Glossary/Master_Glossary.md,358
Intruder,入侵者,04_Ships/Hierarchy_Ships.md,153
Intruder,入侵者,07_Glossary/Master_Glossary.md,185
Intruder,入侵者,07_Glossary/Ship_Names.md,31
Intruder,入侵者,07_Glossary/Fixed_Terms.csv,73
Ion-Bolt Gun,離子波砲,05_Technology/Ship_Modules.md,42
Ion-Bolt Gun,離子波砲,07_Glossary/Tech_Names.md,99
Ion-Bolt Guns,離子波砲,07_Glossary/Master_Glossary.md,376
JUSTICE IS OURS!,正義屬於我們！,02_Races/Syreen.md,249
Ja-ja pole,雅雅柱,03_Characters/Safe_Ones_High_Council.md,90
Jhe-mhr,保留原文擬聲,02_Races/Mmrnmhrm.md,82
"Jiff, Fod, Rogi",吉夫,02_Races/Zoq_Fot_Pik.md,156
Jud the Vug,賈德·魔怪,03_Characters/Safe_Ones_High_Council.md,101
Jud the Vug / Jud the Ineffable Vug,賈德·魔怪,07_Glossary/Master_Glossary.md,161
Juffo-Wup,不譯,02_Races/Mycon.md,125
Juffo-Wup,聖源,07_Glossary/Master_Glossary.md,345
Juffo-Wup,待譯,08_Translation_Rules/Alien_Speech_Rule.md,45
Juffo-Wup,麥孔宗教核心用語,08_Translation_Rules/Alien_Speech_Rule.md,141
Juffo-Wup,Juffo-Wup,07_Glossary/Fixed_Terms.csv,159
Jugger,重砲艦,04_Ships/Neutral_Ships.md,159
Jugger,重砲艦,07_Glossary/Master_Glossary.md,190
Jugger,重砲艦,07_Glossary/Ship_Names.md,42
Jugger,重砲艦,07_Glossary/Fixed_Terms.csv,78
Jukes / Narfs,樹叢猴,02_Races/Zoq_Fot_Pik.md,162
Katana,武士刀,02_Races/Shofixti.md,140
Katana,武士刀,07_Glossary/Fixed_Terms.csv,58
Kazon,卡宗,02_Races/Ilwrath.md,118
Kazon,卡宗,07_Glossary/Master_Glossary.md,344
Kazon,卡宗,08_Translation_Rules/Alien_Speech_Rule.md,144
Kazon,卡宗,07_Glossary/Fixed_Terms.csv,158
Kazon The Unseen,無形的卡宗,02_Races/Ilwrath.md,120
Keel-Verezy,奇維瑞族／商行,07_Glossary/Master_Glossary.md,335
Keel-Verezy,奇維瑞族,07_Glossary/Master_Glossary.md,385
Keel-Verezy,奇維瑞族/商行,07_Glossary/Fixed_Terms.csv,156
King-Killing Horn,殺王之號,02_Races/Umgah.md,135
Knowledge is the purview of the Utwig. We Supox are but the effectuators,智慧屬憂特之領域,02_Races/Supox.md,176
Kohr-Ah,極短句,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,112
Kohr-Ah,柯亞,02_Races/Ur_Quan_Kzer_Za.md,126
Kohr-Ah,柯亞族,09_AI_Prompt/Terminology_Audit.md,135
Kohr-Ah,柯亞族,07_Glossary/Fixed_Terms.csv,6
Korgk / Reeunk / Jugkah / Gnusko / Muuhd / Pudt / Yajag / Mak-Roni,考格克 / 里恩克 / 卓卡 / 奴斯克 / 穆德 / 普德 / 雅賈 / 馬可尼,07_Glossary/Master_Glossary.md,325
Kyabetsu,高麗菜,02_Races/Shofixti.md,138
Kyabetsu,高麗菜,07_Glossary/Master_Glossary.md,288
Kyabetsu,高麗菜,07_Glossary/Place_Names.md,65
Kyabetsu,高麗菜,07_Glossary/Fixed_Terms.csv,189
Kyaiee!,殺呀,02_Races/Shofixti.md,130
Kyaiee!,田中式熱血咆哮,07_Glossary/Master_Glossary.md,420
Kyaiee!,殺呀,08_Translation_Rules/Alien_Speech_Rule.md,27
Kyaiee!,Kyaiee!,07_Glossary/Fixed_Terms.csv,201
Kyaiee!/Hyai!,擬聲,08_Translation_Rules/Style_Guide.md,169
Kyeee! Lykeee-lieee!,保留原文,02_Races/Druuge.md,197
Kzer-Za,克澤札,02_Races/Ur_Quan_Kohr_Ah.md,123
Kzer-Za,克澤札,02_Races/Ur_Quan_Kzer_Za.md,129
Kzer-Za,克澤札,09_AI_Prompt/Terminology_Audit.md,134
Kzer-Za,克澤札,07_Glossary/Fixed_Terms.csv,4
Landing Party,登陸小隊,01_World_Lore/Technology_Level.md,35
Leafy Ones,葉之族,02_Races/Supox.md,185
Ledger of Hatred,仇怨名冊,02_Races/Druuge.md,179
Ledger of Hatred,仇怨名冊,07_Glossary/Master_Glossary.md,320
Legal Circumstances Permitting Unwarranted Attack,允許無因攻擊之法定情境,02_Races/Druuge.md,178
Libixx,里比克斯,07_Glossary/Master_Glossary.md,465
Libixx,里比克斯,07_Glossary/Place_Names.md,101
Libixx,里比克斯,07_Glossary/Fixed_Terms.csv,194
Life Data,生命資料,05_Technology/Resource_Elements.md,40
Lightning Weapon,閃電武器,07_Glossary/Tech_Names.md,40
Lightning Weapon,閃電武器,07_Glossary/Fixed_Terms.csv,100
Linch-Nas-Ploh,蟒-噬-獸,07_Glossary/Master_Glossary.md,270
Logic dictates,邏輯指示,02_Races/Mmrnmhrm.md,79
Love / Light,愛 / 光,02_Races/Pkunk.md,79
Lykeee-lieee!,蘇格蘭騎士呼喚,07_Glossary/Master_Glossary.md,424
Lykeee-lieee!,待譯,08_Translation_Rules/Alien_Speech_Rule.md,39
Lykeee-lieee!,保留原文,08_Translation_Rules/Alien_Speech_Rule.md,525
Lykeee-lieee!,Lykeee-lieee!,07_Glossary/Fixed_Terms.csv,205
MASER,邁射武器 / 微波雷射,01_World_Lore/Technology_Level.md,22
MISSION,任務,02_Races/Slylandro_Probe.md,141
MORON RATHEAD,白痴鼠腦,07_Glossary/Master_Glossary.md,484
MORON RATHEAD,照鎖,08_Translation_Rules/Style_Guide.md,168
MORON RATHEAD,照鎖,09_AI_Prompt/Translate_Dialogue.md,546
MORON RATHEAD,白痴鼠腦,07_Glossary/Fixed_Terms.csv,214
MUST BREAK TARGET INTO COMPONENT COMPOUNDS,必須將目標拆解為構成化合物。,02_Races/Slylandro_Probe.md,125
Mael-Num,梅努族,07_Glossary/Master_Glossary.md,78
Mael-Num,梅努族,07_Glossary/Fixed_Terms.csv,42
Marauder,掠奪者,02_Races/Ur_Quan_Kohr_Ah.md,125
Marauder,掠奪者,04_Ships/Hierarchy_Ships.md,149
Marauder,掠奪者,07_Glossary/Master_Glossary.md,174
Marauder,掠奪者,07_Glossary/Ship_Names.md,27
Marauder,掠奪者,07_Glossary/Fixed_Terms.csv,61
Mark 6 Blaster,六型爆能砲,02_Races/Thraddash.md,186
Mask,面具,02_Races/Utwig.md,119
Master,主人 / 主宰,01_World_Lore/Political_System.md,102
Mauler,重擊者,04_Ships/Neutral_Ships.md,163
Mauler,重擊者,07_Glossary/Master_Glossary.md,193
Mauler,重擊者,07_Glossary/Ship_Names.md,46
Mauler,重擊者,07_Glossary/Fixed_Terms.csv,81
Mauler starship,毒賈重擊者艦,02_Races/Druuge.md,207
May Sunlight and Water always fall upon you,願陽光與水常降於您,02_Races/Supox.md,170
May the fertilizer flow on your roots,願肥料流經您的根,02_Races/Supox.md,166
May the light always reach your leaves,願光永達您的葉,02_Races/Supox.md,168
May you always stand in the Great Green Sunlight,願您永立於偉大綠陽下,02_Races/Supox.md,169
May your flowers always be pollinated,願您的花永得授粉,02_Races/Supox.md,167
May your roots always be well watered,願您的根永得灌溉,02_Races/Supox.md,165
May your rotting bodies provide nutrients for kinder generations,願您腐爛的身體,02_Races/Supox.md,193
Melnorme,高階商務,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,69
Melnorme,梅諾商,07_Glossary/Master_Glossary.md,67
Melnorme,梅諾商,07_Glossary/Fixed_Terms.csv,30
Melnorme Trade Master,貿易官,07_Glossary/Master_Glossary.md,357
Men in Black,黑衣人,02_Races/Arilou.md,127
Meta-Mollusks,超軟體生物,03_Characters/Safe_Ones_High_Council.md,98
MetaChron,超時鐘,07_Glossary/Master_Glossary.md,360
Metallic World,金屬行星,06_Locations/Planet_Types.md,17
Metallic World,金屬行星,07_Glossary/Place_Names.md,78
Missile Form,飛彈形態,07_Glossary/Tech_Names.md,59
Missile Form,飛彈形態,07_Glossary/Fixed_Terms.csv,119
Mission,使命,02_Races/Ur_Quan_Kohr_Ah.md,119
Miwok,米沃克號,02_Races/VUX.md,119
Mmmmmm!,嗯,02_Races/VUX.md,181
Mmmmmm!,嗯～～～～,07_Glossary/Master_Glossary.md,445
Mmrnmhrm,無單獨,00_Project_Control/Dossier_Revision_Progress.md,93
Mmrnmhrm,無單獨,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,83
Mmrnmhrm,合併,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,167
Mmrnmhrm,姆姆族,07_Glossary/Master_Glossary.md,48
Mmrnmhrm,姆姆族,07_Glossary/Fixed_Terms.csv,8
Mode,場景,03_Characters/Talking_Pet.md,58
Model ZK-53 computer,型電腦,02_Races/Thraddash.md,189
Modules,模組,01_World_Lore/Technology_Level.md,38
Mohorovichic,莫氏不連續面,02_Races/Mycon.md,135
Mohorovichic,地殼深處,07_Glossary/Master_Glossary.md,126
Morality Riots,禮法暴動,07_Glossary/Master_Glossary.md,111
Mozart,莫札特,02_Races/Dnyarri.md,163
Mr. Chi,齊先生,07_Glossary/Fixed_Terms.csv,54
Murky Bog,幽暗沼澤,07_Glossary/Master_Glossary.md,118
Mycon,禱詞式短句,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,61
Mycon,麥孔族,02_Races/Syreen.md,238
Mycon,麥孔族,03_Characters/Talana.md,70
Mycon,麥孔族,07_Glossary/Master_Glossary.md,56
Mycon,麥孔族,07_Glossary/Fixed_Terms.csv,19
Mycon Deep Child egg-sac fragments,麥孔深層幼體卵袋殘片,02_Races/Druuge.md,203
NEGATIVE,否。,02_Races/Chmmr.md,115
NPC,保留該族特徵,08_Translation_Rules/Style_Guide.md,16
Nemesis,復仇者,04_Ships/Neutral_Ships.md,165
Nemesis,宿敵號,07_Glossary/Master_Glossary.md,189
Nemesis,宿敵號,07_Glossary/Ship_Names.md,48
Nemesis,復仇者號,07_Glossary/Fixed_Terms.csv,77
New Alliance of Free Stars,新自由星系聯盟,07_Glossary/Master_Glossary.md,301
New Alliance of Free Stars,新自由星系聯盟,07_Glossary/Fixed_Terms.csv,143
No haggling,不接受議價,03_Characters/Trade_Master_Greenish.md,72
Noble Gases,惰性氣體,05_Technology/Resource_Elements.md,24
Non,非,02_Races/Mycon.md,126
Non,異類,07_Glossary/Master_Glossary.md,121
Non-Juffo-Wup,非 Juffo-Wup 者,02_Races/Mycon.md,129
Nose Cannon,前置砲,07_Glossary/Tech_Names.md,49
Nose Cannon,前置砲,07_Glossary/Fixed_Terms.csv,110
Nuclear Thruster,核推進器,05_Technology/Ship_Modules.md,11
Nuclear Thruster,核推進器,07_Glossary/Tech_Names.md,71
Nyark! Nyark! Nyark!,保留原文,02_Races/Zoq_Fot_Pik.md,131
Oath / Vow / Fealty,誓言 / 血誓 / 效忠,02_Races/Yehat.md,137
Ochre,赭黃副官,07_Glossary/Master_Glossary.md,363
Officer of the Crimson Corporation,血紅集團之高級專員,07_Glossary/Master_Glossary.md,317
Ogrunti,歐格倫提,07_Glossary/Master_Glossary.md,470
Ogrunti,歐格倫提,07_Glossary/Fixed_Terms.csv,199
"Okay, okay... so I was lying",好啦好啦……本尊剛剛是在說謊。,02_Races/Dnyarri.md,192
Oort Cloud,歐特雲,06_Locations/Star_Systems.md,59
Oort Cloud,歐特雲,07_Glossary/Master_Glossary.md,285
Oort Cloud,歐特雲,07_Glossary/Place_Names.md,16
Oort Cloud,歐特雲,07_Glossary/Fixed_Terms.csv,185
Organon,歐加農,07_Glossary/Master_Glossary.md,129
Ortog,歐特哥斯,07_Glossary/Master_Glossary.md,466
Ortog,歐特哥斯,07_Glossary/Place_Names.md,102
Ortog,歐特哥斯,07_Glossary/Fixed_Terms.csv,195
Orz,星號詞語,00_Project_Control/Dossier_Voice_Audit_2026-08-15.md,70
Orz,歐茲族,02_Races/Arilou.md,146
Orz,歐茲族,07_Glossary/Master_Glossary.md,68
Orz,歐茲族,07_Glossary/Fixed_Terms.csv,31
Other Worlds,其它行星種類,06_Locations/Planet_Types.md,20
